record_identifier,component,database
EMSC-20161030_0000029_GRN_0,V,ESM
EMSC-20160824_0000006_MDAR_0,U,ESM
IT-2009-0121_AQA_0,V,ESM
EMSC-20161030_0000029_SSC_0,U,ESM
TK-2003-0038_1201_0,U,ESM
EMSC-20161030_0000029_MSC_0,V,ESM
EMSC-20161030_0000029_SPD_0,V,ESM
EMSC-20161026_0000095_TRE1_0,U,ESM
TK-1999-0415_C1060_0,V,ESM
IT-2012-0011_BRM_0,V,ESM
EMSC-20161026_0000095_TLN_0,V,ESM
EMSC-20160824_0000006_PZI1_0,U,ESM
IT-2012-0011_MIR06_0,V,ESM
IT-2009-0009_CLN_0,U,ESM
EMSC-20161030_0000029_POFI_0,U,ESM
TK-2007-0024_4401_0,U,ESM
IT-2009-0009_PDM_0,U,ESM
IT-2009-0121_RM02_0,V,ESM
EMSC-20160824_0000006_FOSV_0,V,ESM
EMSC-20151117_0000025_AGRP_0,V,ESM
IT-2009-0102_RM02_0,U,ESM
TK-2004-0020_2406_0,V,ESM
EMSC-20161026_0000095_MDAR_0,V,ESM
1002244,H2,NGASub
4033375,H2,NGASub
4033933,H2,NGASub
4028580,H1,NGASub
7007989,H1,NGASub
4028835,H1,NGASub
4023585,H2,NGASub
IT-2013-0005_VLM_0,U,ESM
EMSC-20161030_0000029_FMG_0,U,ESM
EMSC-20161030_0000029_CRO_0,V,ESM
EMSC-20120610_0000062_KSL_0,V,ESM
IT-2012-0011_SNM_0,V,ESM
IT-2009-0009_PDM_0,V,ESM
IT-2012-0011_FIN0_0,U,ESM
IT-1976-0002_TLM1_0,V,ESM
6002715,H2,NGASub
4002243,H2,NGASub
6004629,H2,NGASub
7004712,H2,NGASub
IT-2012-0011_RNC_0,V,ESM
IT-2009-0009_CLN_0,V,ESM
TK-2004-0089_4401_0,V,ESM
IT-2009-0102_RM14_0,U,ESM
EMSC-20161026_0000095_TSC_0,V,ESM
EMSC-20160824_0000006_RM33_0,V,ESM
EMSC-20161030_0000029_AQG_0,V,ESM
EMSC-20161030_0000029_T1201_0,V,ESM
EMSC-20161030_0000029_DUR_0,V,ESM
EMSC-20160824_0000006_FMG_0,V,ESM
EMSC-20161030_0000029_T1213_0,U,ESM
EMSC-20160824_0000006_FEMA_0,V,ESM
EMSC-20161026_0000095_MNF_0,V,ESM
EMSC-20160824_0000006_MTR_0,V,ESM
IT-2012-0008_CSP_0,V,ESM
TK-1999-0415_ARC_0,U,ESM
3001438,H1,NGASub
7004983,H2,NGASub
7004944,H2,NGASub
7008136,H1,NGASub
7004851,H1,NGASub
3000408,H1,NGASub
EMSC-20160824_0000006_ATCC_0,V,ESM
EMSC-20161030_0000029_NRC_0,U,ESM
EMSC-20160824_0000006_CVM_0,U,ESM
EMSC-20160824_0000006_NRN_0,U,ESM
EMSC-20160824_0000006_MVB_0,V,ESM
EMSC-20160824_0000006_SSC_0,V,ESM
