record_identifier,component
IT-2009-0009_CSS_0,V
EMSC-20120610_0000062_CESE_0,U
EMSC-20120610_0000062_AKIN_0,U
TK-2004-0020_2406_0,V
EMSC-20160824_0000006_PCB_0,U
GR-2016-0006_JAN_0,U
EMSC-20160824_0000006_FOSV_0,V
EMSC-20161026_0000095_MDAR_0,V
EMSC-20161026_0000095_SNO_0,U
IT-2009-0102_AQK_0,U
TK-2005-0032_2406_0,U
EMSC-20161026_0000095_SPD_0,U
IT-2009-0121_BZZ_0,U
IT-1976-0027_FRC_0,U
TK-2004-0089_2301_0,U
EMSC-20160824_0000006_MDAR_0,U
EMSC-20161030_0000029_MSC_0,U
EMSC-20161030_0000029_AQA_0,V
EMSC-20161030_0000029_T1299_0,U
ME-1979-0002_ULA_0,U
TK-1999-0415_C1060_0,U
EMSC-20160824_0000006_AQU_0,U
IT-1980-0012_BSC_0,U
IT-2002-0045_SCV_0,V
AM-1988-0001_GUK_0,V
EMSC-20161026_0000077_CSC_0,U
IT-1981-0001_FMC_0,U
EMSC-20161030_0000029_PZI1_0,U
TK-1999-0415_C1060_0,V
EMSC-20161026_0000077_PCB_0,V
EMSC-20161030_0000029_AQK_0,U
EMSC-20161030_0000029_AMT_0,V
EMSC-20161026_0000095_TRE1_0,V
IT-2002-0047_SCV_0,V
GR-1999-0001_ATH2_0,V
EMSC-20161030_0000029_ANT_0,U
IT-2009-0121_FMG_0,V
IT-2009-0102_RM14_0,U
EMSC-20161030_0000029_CTD_0,U
EMSC-20160824_0000006_AQG_0,V
EMSC-20160824_0000006_AQA_0,V
EMSC-20160824_0000006_AQK_0,V
EMSC-20161030_0000029_MSC_0,V
IT-2012-0061_VGG_0,V
IT-2009-0140_AQP_0,V
EMSC-20161030_0000029_MSCT_0,V
EMSC-20161026_0000095_MCT_0,U
IT-2009-0140_AQG_0,U
IT-1980-0012_BNV_0,U
EMSC-20160824_0000013_AMT_0,U
IT-2012-0010_MIR06_0,V
IT-1997-0137_NRC_0,U
EMSC-20160824_0000013_CSC_0,V
IT-2012-0061_VGG_0,U
GR-1986-0011_KAL2_0,V
IT-1980-0012_BNV_0,V
IT-1980-0012_BSC_0,V
EMSC-20161026_0000077_CLO_0,V
TK-1999-0077_YPT_0,U
IT-1984-0004_CSN0_0,U
IT-1997-0137_FHC_0,U
