record_identifier,component
TK-1992-0002_2403_0,U
TK-1999-0077_ZYT_0,V
EMSC-20160824_0000006_NRN_0,U
EMSC-20161026_0000095_GLT_0,U
IT-1997-0137_ANNI_0,V
IT-2012-0008_NPOR_0,U
EMSC-20161030_0000029_MARN_0,U
IT-2013-0005_ZEN8_0,V
TK-1999-0077_1604_0,V
EMSC-20140126_0000046_CUC_0,U
GR-1997-0019_KYP1_0,U
EMSC-20140126_0000046_KKS_0,U
ME-1979-0006_PETO_0,U
EMSC-20160824_0000006_PAN_0,V
TK-2002-0012_5401_0,V
IT-2012-0008_CRM1_0,V
EMSC-20161030_0000029_MGAB_0,U
EMSC-20110519_0000052_PSRA_0,V
IT-1997-0004_ASS_0,V
EMSC-20160824_0000006_FRE8_0,U
IT-2012-0011_SMZW_0,V
IT-2012-0008_CAGN_0,U
EMSC-20161026_0000095_CLUD_0,U
IT-2012-0008_DCM_0,U
EMSC-20150416_0000081_GOMA_0,U
IT-2013-0005_FIVI_0,V
IT-2009-0009_RIC_0,V
EMSC-20161030_0000029_TSC_0,U
EMSC-20161026_0000095_SSG_0,V
EMSC-20160824_0000006_PTL_0,U
EMSC-20160824_0000006_CIMA_0,U
EMSC-20160824_0000006_TRV_0,U
IT-2012-0008_PZS_0,V
TK-2003-0038_2301_0,V
EMSC-20161026_0000095_FIAM_0,V
IT-2012-0011_BGR_0,V
EMSC-20161030_0000029_T1216_0,V
IT-2012-0011_CMO_0,V
TK-1999-0415_C1062_0,V
TK-1997-0003_3102_0,V
EMSC-20140126_0000046_NOAC_0,U
IT-2012-0008_TGL_0,U
EMSC-20161026_0000095_NRC_0,U
EMSC-20161026_0000095_T1244_0,U
IT-2009-0121_MI05_0,U
IT-2009-0102_MI05_0,V
EMSC-20161026_0000095_NRC_0,V
IT-1997-0137_CLC_0,V
EMSC-20140126_0000046_T0721_0,V
EMSC-20140203_0000008_PLAC_0,V
IT-2012-0008_SOLZ_0,U
IT-2009-0009_MNG_0,U
EMSC-20160824_0000006_PNC_0,U
EMSC-20161030_0000029_VARN_0,U
IT-2012-0011_MIRE_0,V
TK-1992-0002_2402_0,V
IT-2012-0011_MRN_0,V
IT-2012-0010_T0819_0,V
TK-2000-0449_5402_0,V
IT-2012-0008_MRN_0,V
EMSC-20140608_0000042_MNVA_0,U
EMSC-20111110_0000081_MNVA_0,U
IT-2012-0011_MOG0_0,V
EMSC-20130809_0000034_ITM_0,U
IT-2012-0008_SNS_0,U
IT-1976-0027_BUI_0,U
EMSC-20160116_0000069_MRC_0,U
IT-2012-0011_T0818_0,V
TK-2005-0032_2501_0,V
EMSC-20150123_0000041_ZCCA_0,V
IT-2012-0011_CNT_0,V
TK-2003-0180_1007_0,U
IT-2012-0010_CRP_0,U
EMSC-20161026_0000095_SALO_0,U
IT-2009-0009_PTF_0,V
EMSC-20161030_0000029_FIR_0,U
IT-2012-0011_OSSC_0,U
IT-1979-0009_CSC_0,V
IT-2012-0008_SSU_0,V
EMSC-20160824_0000006_CPS_0,U
IT-2012-0011_MTRZ_0,V
IT-2012-0011_PVF_0,V
IT-2012-0011_PVF_0,U
IT-2012-0011_SRER_0,U
EMSC-20161030_0000029_T1244_0,U
EMSC-20130108_0000044_GOMA_0,U
IT-1997-0006_AQI_0,U
GR-1999-0001_ATH4_0,V
EMSC-20160824_0000006_RNI2_0,U
EMSC-20151117_0000025_KASA_0,V
EMSC-20161030_0000029_CPS_0,U
EMSC-20161026_0000095_MMP1_0,U
EMSC-20151117_0000025_ROD3_0,U
EMSC-20130615_0000050_IMMV_0,U
IT-2012-0008_BSZ_0,U
EMSC-20161026_0000095_CADA_0,V
IT-2012-0008_PNM_0,V
EMSC-20151117_0000025_JAN_0,U
EMSC-20161030_0000029_TERO_0,U
TK-1999-0415_ARC_0,V
IT-2012-0011_OSSC_0,V
EMSC-20161030_0000029_TERO_0,V
RO-1990-0003_A1855_0,V
TK-1999-0415_BAH_0,U
IT-2012-0011_CNF_0,V
EMSC-20161030_0000029_UMB_0,U
EMSC-20161026_0000095_ATTE_0,U
IT-2012-0008_TVR_0,V
IT-2012-0011_RVR_0,U
EMSC-20140524_0000026_YDRA_0,U
EMSC-20160824_0000013_CMB_0,U
IT-2009-0009_SDG_0,V
EMSC-20160824_0000006_OSSC_0,U
SI-1998-0010_LJU_0,U
IT-2002-0045_SCV_0,U
EMSC-20161026_0000077_CMB_0,U
EMSC-20161030_0000029_PIGN_0,U
EMSC-20160824_0000013_PIGN_0,U
IT-2012-0011_ZCCA_0,V
IT-2012-0061_LRS_0,U
EMSC-20161030_0000029_AQV_0,U
EMSC-20161030_0000029_CIMA_0,V
IT-2012-0008_SSG_0,U
IT-2009-0121_AQV_0,U
EMSC-20160824_0000013_CLN_0,V
TK-1998-0063_4603_0,V
EMSC-20160824_0000006_SNM_0,V
EMSC-20130108_0000044_SMTH_0,V
EMSC-20131012_0000044_KTHA_0,U
EMSC-20160824_0000006_MTL_0,U
EMSC-20140126_0000046_IMMV_0,U
EMSC-20160824_0000006_ATPC_0,V
EMSC-20161026_0000077_PCB_0,U
EMSC-20151117_0000025_SERS_0,U
IT-2012-0011_STGK_0,V
IT-2009-0121_PSC_0,U
IT-2012-0010_FDS_0,U
EMSC-20151117_0000025_SERS_0,V
EMSC-20140203_0000008_T0721_0,U
RO-1990-0003_A1856_0,U
RO-1990-0003_A1856_0,V
TK-1999-0077_BTS_0,U
EMSC-20161026_0000095_TOD_0,U
EMSC-20161026_0000095_AQK_0,U
EMSC-20160824_0000006_CSO1_0,V
IT-2012-0011_MTRZ_0,U
IT-1984-0004_ORT_0,U
IT-2012-0011_NEVI_0,V
IT-2012-0008_ZCCA_0,U
IT-2012-0011_CSP_0,U
EMSC-20160824_0000006_AQG_0,U
EMSC-20161030_0000029_BRIS_0,V
IT-2012-0008_SIOO_0,V
EMSC-20161030_0000029_AGOR_0,V
IT-2012-0008_TLN_0,V
EMSC-20150416_0000081_GOMA_0,V
GR-1997-0019_KAL1_0,V
IT-2012-0011_MIR02_0,V
IT-1997-0004_CLF_0,U
IT-2012-0009_T0104_0,U
IT-2012-0011_T0813_0,V
IT-2012-0009_SSG_0,V
IT-2012-0012_T0819_0,V
TK-1994-0006_3501_0,U
IT-2012-0011_MIRH_0,V
TK-1999-0077_8101_0,U
UZ-1976-0001_GZL_0,U
GR-1987-0004_LEF1_0,U
IT-2012-0008_MTRZ_0,V
EMSC-20161026_0000095_CTD_0,U
IT-2012-0008_CSP_0,U
EMSC-20161026_0000095_AQK_0,V
EMSC-20160824_0000006_GBC_0,V
IT-2012-0008_MMUR_0,V
EMSC-20161026_0000095_ACOM_0,V
EMSC-20151117_0000025_SALB_0,V
EMSC-20161030_0000029_FRE8_0,U
EMSC-20151117_0000025_AGRP_0,U
EMSC-20161026_0000095_AGOR_0,V
EMSC-20151117_0000025_SIRI_0,U
EMSC-20161026_0000077_MCV_0,U
IT-2009-0102_FMG_0,V
IT-2013-0019_SACR_0,U
IT-2013-0019_SACR_0,V
GR-1995-0033_KRR1_0,V
EMSC-20161026_0000077_SNO_0,V
IT-2009-0121_MTR_0,V
EMSC-20161026_0000095_AM05_0,U
EMSC-20151117_0000025_KBN_0,U
EMSC-20140203_0000008_SALB_0,U
EMSC-20161026_0000095_BAG8_0,V
IT-2012-0008_OTTER_0,U
IT-2012-0011_ATPC_0,V
IT-2009-0174_RM22_0,U
IT-2009-0084_AQU_0,V
IT-2009-0095_RM02_0,U
IT-2012-0061_SALB_0,V
IT-2013-0019_CMB_0,U
EMSC-20161026_0000077_ACC_0,U
IT-2009-0121_RM10_0,U
IT-2012-0061_0FRA_0,U
EMSC-20141122_0000066_TNR_0,U
IT-2012-0061_PRA_0,V
EMSC-20140524_0000026_PRK_0,V
