im,site,region,stripe_iml,stripe_return_period,n_required,n_required_ngasub,n_required_esm,n_available,n_missing,n_missing_ngasub,n_missing_esm,stripe_complete,site_im_complete
AvgSA_03,6,1,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,6,1,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,6,1,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,6,1,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.6049,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,7,1,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,8,1,0.4898,,30,0,30,30,0,0,0,True,True
AvgSA_03,8,1,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,8,1,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,8,1,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,8,1,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,8,1,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,8,1,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,8,1,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,9,1,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,9,1,0.4898,,30,0,30,30,0,0,0,True,True
AvgSA_03,9,1,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,9,1,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,9,1,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,9,1,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,9,1,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,9,1,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,10,2,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,10,2,0.6049,,30,0,30,30,0,0,0,True,True
AvgSA_03,10,2,0.55,,30,0,30,30,0,0,0,True,True
