1,1002963,1002882,3001312,4007351,3001494,4032627,4032479,4017056,3001307,6003796,1000052,4007211,7004708,3001593,7004710,4032484,3000363,7006413,7006133,6001373,6001673,6003748,3001311,4034540,4038266,4034781,7008138,7008146,4034432,6001712
2,6001826,6001851,6001857,4028563,4030539,6001676,6001193,3000401,7000975,4032463,4008218,7006718,7004691,7007970,4007307,4032633,4032634,3001292,1002979,4040110,4040125,4040297,4040303,7004725,1002869,7004862,3001647,7008053,3001031,7011979
3,7011309,7004851,7004849,7004843,7004779,4023585,3001040,3001009,7004985,3000433,7004700,1002976,7005979,1002959,7004632,4027411,4028119,4028074,4027491,7006051,7006041,7006034,7006009,7006197,7006092,4019353,6004610,6004599,3001492,4017184
4,6002715,6002710,6002644,4028789,4028604,4028566,7006263,1002858,4017053,6002303,2000806,7006397,4016856,6001692,6001690,7006427,7006425,7006418,4016798,7006689,7006665,4010137,7006511,6001395,6001153,6001148,6001147,4032473,4032471,4007432
5,4032659,4040493,4040393,7006734,4007510,7008017,7007990,4040357,4007126,3001587,4038522,4038521,4033787,4033737,4033719,4038398,7008235,4034732,4034590,1000050,1000071,1000120,7011561,1002141,7011261,7011308,7011321,1001754,1001739,1001140
6,7011097,4002595,4002204,3001968,4034753,4034736,4034728,4034725,4034675,4034405,4034396,4034354,4033943,4033936,4033930,4033912,4033702,4038406,4038394,4038299,4038259,4038246,4037245,4036910,4035233,4035215,4034792,4034791,4034758,4039279
7,4038638,4038520,4038519,4038517,4038515,4038478,4033840,4033839,4033732,4040121,4040100,4040055,4033628,4033535,4033523,4033519,4039434,4039342,4032632,4032631,4040876,4040803,4040725,4040718,4040716,4040655,4040603,4040498,4040358,4040320
8,4040280,5004019,5003393,5001776,5001611,4033488,4033375,4032952,4032687,4032677,4032666,4032654,4032648,4032646,4032529,4032524,4032493,4032490,4032489,4032480,4032464,4032344,4032217,6000029,6000028,4031821,4031802,4031788,6001145,6001136
9,2001630,2001584,2001400,4030598,6001412,6001403,6001397,6001268,4032016,4031834,4031831,6001578,6001549,4031779,4031743,4031711,4031690,4031389,4031322,4031178,4031143,4031079,4030991,4030924,4030907,6001772,6001753,6001727,6001708,6001705
10,6001696,6001694,4029081,4028906,4028881,4028844,2000069,2000055,6001821,6001804,6001795,6002322,6002318,6002312,6002300,6002262,6002218,6001858,2000808,4030538,4030537,4030504,4030502,4030498,4030492,4029084,6003451,6002711,6002700,4028739
11,4028605,4028601,4028572,4028561,4028538,6002323,6004635,6004628,6004329,6004288,6003875,4028537,4028327,6003837,7001727,7001268,7001174,6006428,6006369,6005374,7001888,7001843,7001841,7001742,4028304,4028266,4028250,4028166,4028151,4028150
12,4028124,7002763,7002316,7002042,7002029,7001976,4028063,4028057,4027534,7004681,7004646,7004615,4027472,4027390,4027356,4027350,4027349,4027345,4027146,7003468,7002931,7002771,1002978,4026677,4026042,4026038,4025921,4025901,4025882,4025856
13,4025506,1002970,1002968,1002967,7004682,1002953,1002946,1002925,1002922,1002919,1002899,7004717,7004703,1002958,1002955,4024737,4024735,4024734,4024718,4024696,4023423,4023180,4023096,4022921,3001022,7004856,7004815,7004814,7004813,7004770
14,7004767,7004753,7004744,7004739,7004897,7004892,7004891,7004885,7004884,7004876,7004874,4023091,4023066,4023047,4022996,4022988,7004963,7004949,7004939,7004906,3000432,3000419,4022726,4022651,4022632,7005857,7005772,7005374,7005369,7005364
15,7005363,7005196,7005151,7005022,7005011,7004994,7004983,7004979,7005915,4022581,4022495,4022479,4022444,4022443,4022440,4022434,3001302,7005896,7006014,3001299,3001298,4019934,4019919,4019879,4019871,4019715,7005987,7006094,7006079,4019403
16,4019164,4018962,4018948,4018943,4018892,4018193,4018053,7006048,7006043,7006194,7006178,7006177,7006165,7006158,7006142,7006140,7006138,7006121,1002824,1002823,7006233,7006232,4017881,4017875,4017865,4017190,4017177,4017142,4017140,4017139
17,7006223,7006252,4017085,4017079,4017022,4016901,3001488,1002847,1002846,1002835,4016815,7006373,7006340,7006324,7006304,7006299,7006290,7006274,7006272,4012393,4010647,4010402,7006403,7006401,4016873,4016845,4016842,4016828,7006449,7006443
18,7006442,7006433,7006431,4016776,4016730,4012459,4009535,4009509,7006582,7006579,7006575,7006557,7006519,7006492,7006469,7006466,7006451,7006624,7006618,7006608,7006596,4010012,4010003,4009740,4009734,4009729,4009726,4009635,4008143,1002249
19,1002244,1002204,1002147,7006672,7006671,7006633,7006631,7006709,7006704,4009391,4009199,4008641,4008631,4008213,4008212,4008132,4008093,4007552,4007511,4007493,4007438,4007426,4007410,7007988,4007403,4007399,4007359,4007348,4007293,4007262
20,4007260,4007258,3001963,7007901,7006880,7006737,7006730,7008070,7008060,7008059,7008054,7008047,3001951,3001948,7008020,7008005,7007995,7008150,7008143,7008136,7008114,4007221,4007207,4007099,7008087,7008085,7008082,7010401,7010375,7010373
21,7010140,7010055,7008220,7008178,7008170,7011698,7011697,7011643,7011074,7011022,7011017,7011010,7011008,7010807,7010681,7010648,7012033,7012021,1000027,7011976,7011801,1000033,1000034,1001926,1001784,1001758,4033883,4034640,4034594,4034544
22,4034538,4034527,4034515,4034513,1000043,7011544,7011355
