,SA(0.01),SA(0.02),SA(0.022),SA(0.025),SA(0.029),SA(0.03),SA(0.032),SA(0.035),SA(0.036),SA(0.04),SA(0.042),SA(0.044),SA(0.045),SA(0.046),SA(0.048),SA(0.05),SA(0.055),SA(0.06),SA(0.065),SA(0.067),SA(0.07),SA(0.075),SA(0.08),SA(0.085),SA(0.09),SA(0.095),SA(0.1),SA(0.11),SA(0.12),SA(0.13),SA(0.133),SA(0.14),SA(0.15),SA(0.16),SA(0.17),SA(0.18),SA(0.19),SA(0.2),SA(0.22),SA(0.24),SA(0.25),SA(0.26),SA(0.28),SA(0.29),SA(0.3),SA(0.32),SA(0.34),SA(0.35),SA(0.36),SA(0.38),SA(0.4),SA(0.42),SA(0.44),SA(0.45),SA(0.46),SA(0.48),SA(0.5),SA(0.55),SA(0.6),SA(0.65),SA(0.667),SA(0.7),SA(0.75),SA(0.8),SA(0.85),SA(0.9),SA(0.95),SA(1.0),SA(1.1),SA(1.2),SA(1.3),SA(1.4),SA(1.5),SA(1.6),SA(1.7),SA(1.8),SA(1.9),SA(2.0),SA(2.2),SA(2.4),SA(2.5),SA(2.6),SA(2.8),SA(3.0),SA(3.2),SA(3.4),SA(3.5),SA(3.6),SA(3.8),SA(4.0),SA(4.2),SA(4.4),SA(4.6),SA(4.8),SA(5.0),SA(5.5),SA(6.0),SA(6.5),SA(7.0),SA(7.5),SA(8.0),SA(8.5),SA(9.0),SA(9.5),SA(10.0),RSD575,RSD595,PGA,PGV
SA(0.01),1,0.997561928,0.996551648,0.994464501,0.99098459,0.989870109,0.98728783,0.982685287,0.980998936,0.973185068,0.968755509,0.963977653,0.961484192,0.958939171,0.953732016,0.948459139,0.935566101,0.924153159,0.915106032,0.912193967,0.908557953,0.904129445,0.901267548,0.899467188,0.898375623,0.897728293,0.897275446,0.896951077,0.896279474,0.895693768,0.895581617,0.895347493,0.895187655,0.895166049,0.895337805,0.895216519,0.891387745,0.881401887,0.861846854,0.843675087,0.835081067,0.826771732,0.811031541,0.80352198,0.79626977,0.782302435,0.769099354,0.762753141,0.756570136,0.744648037,0.733261519,0.722364037,0.711916309,0.706854085,0.701898472,0.692279193,0.683015662,0.661216237,0.64109859,0.622429809,0.616383599,0.605052015,0.588795284,0.573394793,0.558874526,0.545130112,0.532081936,0.519662006,0.496482571,0.47522158,0.455599582,0.43738105,0.420394631,0.404468227,0.389481194,0.375327239,0.361917213,0.349174703,0.32545326,0.303753826,0.293560609,0.28372426,0.265171637,0.247873914,0.231670904,0.216432661,0.209142437,0.202055734,0.188448399,0.175528773,0.163231667,0.151503055,0.140297513,0.129576491,0.119305175,0.095375736,0.073682954,0.05355553,0.035220903,0.018209946,0.004728261,0.019638016,0.034133584,0.047966141,0.060938136,-0.451386516,-0.411775922,0.954325651,0.689267612
SA(0.02),0.997561928,1,0.999851008,0.999064853,0.996918058,0.996086735,0.994021683,0.990258743,0.988870551,0.98249519,0.978781285,0.974763038,0.972651399,0.970480842,0.965995889,0.961380557,0.949833932,0.939271131,0.930515249,0.927588693,0.923797419,0.91889662,0.915410537,0.912943456,0.91117679,0.909864221,0.908853378,0.907453641,0.905732739,0.904465538,0.904146434,0.903490069,0.902698206,0.902055252,0.901803927,0.897086017,0.886008166,0.875144955,0.854684871,0.835749197,0.82680884,0.818194119,0.801829178,0.794038493,0.786486416,0.772071693,0.758430986,0.751880805,0.745504161,0.733220974,0.721505722,0.710308777,0.69958712,0.694396343,0.689318104,0.679468159,0.669993708,0.647739648,0.627256128,0.608292459,0.602159443,0.590678756,0.574233503,0.558686195,0.544052586,0.530223701,0.517115839,0.504658794,0.481456929,0.460228496,0.440682982,0.422584957,0.405726694,0.389960184,0.37515135,0.361190287,0.347985308,0.335459222,0.312191249,0.290962663,0.281009749,0.271419947,0.253364172,0.236566505,0.220865205,0.206127307,0.199086263,0.192249936,0.179140234,0.166713151,0.154903764,0.143657486,0.132928395,0.12267762,0.112871951,0.090074177,0.069393639,0.050508402,0.033094618,0.017054218,0.004074965,0.018439771,0.032105284,0.045154251,0.057659069,-0.432492197,-0.411560732,0.957600079,0.681441377
SA(0.022),0.996551648,0.999851008,1,0.999621718,0.99792153,0.997187171,0.995298294,0.991742453,0.990421636,0.984337607,0.980775105,0.976911763,0.974877609,0.972783051,0.96844411,0.963961958,0.952685739,0.942290442,0.933590791,0.930660199,0.92683632,0.921838137,0.918225255,0.91562152,0.913716564,0.912272346,0.911151357,0.909532089,0.907597974,0.906204124,0.905845617,0.905107079,0.904194304,0.903452424,0.902938269,0.89585205,0.884433511,0.8734343,0.852733256,0.833587244,0.824551002,0.815847437,0.799314201,0.791446213,0.78381801,0.769272325,0.755510368,0.748903821,0.742473643,0.730090736,0.718284854,0.707005467,0.696208483,0.690982352,0.685870295,0.675956697,0.666423996,0.644044626,0.62346063,0.604416096,0.598259196,0.586737142,0.570239312,0.554654113,0.539991316,0.526140951,0.513018275,0.500552484,0.477347178,0.456129998,0.436607034,0.418541222,0.40172014,0.385997405,0.371237012,0.357328209,0.344178682,0.331711055,0.308565591,0.287464292,0.277576358,0.268054014,0.250132636,0.233470363,0.217905071,0.203302984,0.196329612,0.189561208,0.176586611,0.164293485,0.152616958,0.141502239,0.130903184,0.120780745,0.111102004,0.088612333,0.068221982,0.049637818,0.032488481,0.016703463,0.003857707,0.018063873,0.031499362,0.044329835,0.056697505,-0.429856984,-0.411497193,0.95793387,0.679104609
SA(0.025),0.994464501,0.999064853,0.999621718,1,0.999127027,0.99859019,0.997074863,0.993902785,0.99270145,0.987074621,0.983751988,0.980127762,0.978214019,0.976237083,0.972123711,0.967849833,0.95699449,0.946848709,0.938224432,0.93528287,0.931406252,0.926254369,0.922441785,0.919621733,0.917499964,0.915849697,0.914542843,0.912579375,0.910384436,0.90878887,0.908373128,0.907512167,0.906445344,0.905637887,0.904605862,0.89369495,0.881840884,0.870612391,0.849509806,0.830015203,0.820819947,0.811966769,0.795155669,0.787159858,0.779409294,0.764640901,0.750677499,0.743977521,0.737458181,0.72490934,0.712953019,0.701536929,0.690615334,0.685330752,0.680162397,0.670142779,0.660512725,0.63792475,0.617174443,0.597996771,0.591800548,0.580209289,0.563623447,0.547977409,0.533267689,0.51938301,0.50623691,0.4937572,0.470547651,0.449350864,0.429866439,0.411853355,0.395095487,0.379445299,0.364764886,0.350942218,0.337883951,0.325511977,0.302567537,0.28167636,0.271895797,0.262484777,0.244784068,0.228344776,0.213003668,0.198625957,0.191764492,0.185107749,0.172355466,0.160283322,0.148826151,0.137928747,0.127544522,0.117633992,0.10816401,0.086181677,0.066275357,0.048167337,0.031464311,0.016106232,0.003580461,0.017409386,0.030458126,0.042925205,0.054980283,-0.426282841,-0.411383122,0.958189202,0.675096294
SA(0.029),0.99098459,0.996918058,0.99792153,0.999127027,1,0.999920439,0.999302011,0.996838561,0.995766271,0.990692064,0.987708712,0.984417575,0.982664075,0.980847354,0.977045133,0.97306465,0.962799879,0.952980858,0.944438983,0.941473374,0.937519088,0.932148566,0.928053288,0.924924285,0.922495455,0.920556496,0.918966592,0.916517389,0.914074602,0.91218944,0.91170039,0.910672082,0.909407271,0.908382477,0.902727423,0.889986268,0.877893617,0.866390509,0.844694469,0.82467814,0.81524393,0.806159849,0.788937288,0.780751418,0.772827729,0.757712009,0.743445345,0.736605243,0.729951592,0.717153027,0.704970876,0.693349805,0.6822418,0.676869829,0.671616725,0.661437418,0.65166024,0.628758269,0.607759113,0.588383338,0.582128592,0.570432704,0.553713854,0.537979807,0.523202299,0.509268449,0.496089238,0.483589822,0.460376613,0.439213404,0.41978865,0.401852473,0.385193129,0.36965182,0.355090798,0.34139644,0.328473888,0.316243321,0.293596883,0.273019062,0.26339883,0.254153764,0.236780436,0.220672919,0.205665667,0.191622884,0.184928624,0.178437736,0.166015988,0.154273246,0.143143345,0.132570338,0.122506851,0.112912521,0.103752798,0.082526082,0.063360833,0.045904236,0.029893627,0.015180034,0.003282582,0.016372297,0.028833609,0.040754466,0.052213644,-0.422032026,-0.411214286,0.958066949,0.668861361
SA(0.03),0.989870109,0.996086735,0.997187171,0.99859019,0.999920439,1,0.999661416,0.997511994,0.996504862,0.991594479,0.988696483,0.985488652,0.983776379,0.982000159,0.978275943,0.974369059,0.964251979,0.954514543,0.945993211,0.943021385,0.939047513,0.933621677,0.929454899,0.926247797,0.923742238,0.921730924,0.920069145,0.917497492,0.914995012,0.913038669,0.912531796,0.911462796,0.910153503,0.909078511,0.901932708,0.889011184,0.876850263,0.86526359,0.84340718,0.823250712,0.813752426,0.804606938,0.787273121,0.779035932,0.771064816,0.755856754,0.741508741,0.734631015,0.727941278,0.715075642,0.702832858,0.691156761,0.679998729,0.674603311,0.669327443,0.659105255,0.649288555,0.626302272,0.605236334,0.585807401,0.579536947,0.567812906,0.551058189,0.535300885,0.520505418,0.506558578,0.493370671,0.480866133,0.457652259,0.436498323,0.417089772,0.399174557,0.382541366,0.367029161,0.352500053,0.338839977,0.325953681,0.313760877,0.291194037,0.270699932,0.261122528,0.251921947,0.234636087,0.218617252,0.20369926,0.189746051,0.183096523,0.17664998,0.164316641,0.152662041,0.141619741,0.131133591,0.121155995,0.111646347,0.102569682,0.081545014,0.062575587,0.045298372,0.02946992,0.014926401,0.003196945,0.016087057,0.028391504,0.040166532,0.051463752,-0.421057423,-0.411162346,0.957923757,0.667131961
SA(0.032),0.98728783,0.994021683,0.995298294,0.997074863,0.999302011,0.999661416,1,0.998768743,0.997974228,0.993413927,0.990673405,0.987628524,0.985999605,0.984303823,0.980733832,0.976971359,0.967143964,0.957570644,0.949093411,0.946110589,0.942098094,0.936562568,0.932254294,0.928893517,0.926236833,0.924082525,0.922283885,0.919470035,0.91682982,0.914739586,0.914197255,0.913049068,0.911647037,0.910482626,0.900188757,0.887053506,0.874706897,0.862928766,0.84073865,0.820291066,0.81065977,0.80138839,0.783822061,0.775477916,0.767405578,0.7520089,0.737492071,0.730536172,0.723771601,0.710766847,0.698398221,0.686607919,0.675345982,0.669901845,0.664578788,0.654267691,0.64436915,0.621208073,0.600003493,0.580464002,0.574160845,0.562378465,0.545549265,0.529743857,0.514911217,0.5009375,0.487731632,0.475216697,0.452001748,0.430867152,0.41149231,0.3936214,0.377041638,0.361589724,0.347126759,0.333537732,0.320726584,0.308612222,0.286210547,0.265889775,0.256400977,0.247292831,0.230188453,0.214353466,0.199620522,0.185852899,0.179296019,0.172941525,0.160791646,0.149319847,0.138459238,0.128153255,0.118353835,0.109019885,0.100115794,0.0795104,0.060941552,0.044049882,0.028591199,0.01439702,0.002977769,0.015493482,0.027471983,0.038942089,0.049930351,-0.419205367,-0.411045233,0.957482629,0.663465489
SA(0.035),0.982685287,0.990258743,0.991742453,0.993902785,0.996838561,0.997511994,0.998768743,1,0.999861549,0.996161732,0.99363906,0.990838978,0.989333962,0.98775799,0.984418313,0.980867322,0.971465321,0.962140948,0.953733409,0.950736773,0.946665942,0.940966917,0.936448673,0.93286265,0.929980008,0.927611323,0.925623449,0.922448639,0.919569185,0.9172933,0.916697281,0.915434157,0.913880121,0.911620172,0.897408837,0.88400941,0.871320004,0.859234512,0.836517396,0.815608544,0.80576635,0.796296667,0.778361476,0.769847979,0.761613072,0.745920451,0.731136108,0.724056271,0.717173402,0.703948596,0.69138075,0.679409637,0.667983054,0.662461643,0.657064021,0.646612322,0.63658458,0.61314708,0.591722823,0.572007761,0.565652562,0.553777986,0.536830869,0.520949034,0.506057373,0.492040935,0.478806465,0.466275208,0.443058571,0.421954336,0.402632646,0.384832392,0.36833642,0.352979872,0.338621542,0.325144929,0.312452693,0.300462791,0.278322862,0.258276186,0.248927396,0.239965819,0.223149078,0.207605166,0.193165218,0.17969123,0.173280814,0.167072307,0.155213173,0.144030851,0.133457984,0.123437349,0.113920146,0.104864506,0.096234313,0.07629386,0.058356741,0.04208452,0.027205566,0.013567377,0.002566215,0.014566967,0.026021973,0.036997516,0.047552292,-0.416625687,-0.410858852,0.95641373,0.657463986
SA(0.036),0.980998936,0.988870551,0.990421636,0.99270145,0.995766271,0.996504862,0.997974228,0.999861549,1,0.997016865,0.994629211,0.991916854,0.990447081,0.988910897,0.985648701,0.982169649,0.972912214,0.96367003,0.955284285,0.952282241,0.948191649,0.942437381,0.937848126,0.934185378,0.931226363,0.928785536,0.926730899,0.923434079,0.92048372,0.918142561,0.917528768,0.916226247,0.914612237,0.910817487,0.896446052,0.882943681,0.87014063,0.857955999,0.83505702,0.813988644,0.804073488,0.79453458,0.776472372,0.767900423,0.759610367,0.743814188,0.728937306,0.72181463,0.714890807,0.701589841,0.688953068,0.67691939,0.665435859,0.659887736,0.65446429,0.64396392,0.633891405,0.610358171,0.588857854,0.569082039,0.562708848,0.550802267,0.533814265,0.517905819,0.502993585,0.488962226,0.47571773,0.463180635,0.439963127,0.418869232,0.399565808,0.381789622,0.365322916,0.349999369,0.335677258,0.32223957,0.309588516,0.297641644,0.275592312,0.255640693,0.246340491,0.237429604,0.220712455,0.205269401,0.190930976,0.177558784,0.171199166,0.16504119,0.153282731,0.142200699,0.131727517,0.121805736,0.112386307,0.103427093,0.094891696,0.075181642,0.05746571,0.041403148,0.02672836,0.013283739,0.002445384,0.014249118,0.025523616,0.036329743,0.046721618,-0.415807948,-0.410799394,0.955950398,0.655341512
SA(0.04),0.973185068,0.98249519,0.984337607,0.987074621,0.990692064,0.991594479,0.993413927,0.996161732,0.997016865,1,0.998588185,0.996202985,0.994899033,0.99352331,0.990569578,0.987376929,0.978694861,0.969782237,0.961485558,0.958462671,0.954294123,0.948320544,0.94344907,0.939481383,0.936219214,0.933491625,0.931171787,0.927390142,0.924147141,0.921544364,0.920859001,0.91939941,0.917592319,0.90735106,0.892498012,0.878499472,0.86524449,0.852636611,0.828980605,0.807248982,0.797030668,0.787205036,0.768614368,0.759799382,0.751278975,0.735054409,0.71979329,0.71249266,0.705398785,0.691781555,0.678858393,0.666564634,0.654844271,0.649185082,0.64365436,0.632951899,0.622693525,0.598762525,0.576945586,0.556916487,0.550468313,0.538428606,0.521270655,0.505249707,0.49025042,0.476155649,0.462868206,0.45030573,0.427082547,0.406029882,0.386801194,0.36912477,0.352779004,0.337592617,0.323421309,0.310145841,0.297666512,0.285899185,0.264227896,0.24467285,0.23557538,0.226875555,0.210574047,0.195551786,0.18163683,0.168689114,0.162541312,0.156594128,0.145255611,0.134591753,0.124534126,0.115024389,0.10601251,0.09745532,0.089315375,0.070566771,0.05377161,0.038593021,0.02476853,0.012133141,0.001969338,0.012963435,0.023489569,0.033594299,0.043319054,-0.412750961,-0.410566584,0.953556566,0.646295649
